time,text
2020-01-17 00:00:00,"$SBES boom! We are over 01 and thin up. Sellers all disappearing. Time for a nice big run back up. Shares LOCKED

$amrn $swhi $pctl $nwbo $avxl $owcp $rxmd $fnma $igex $kwbt $vrus $ipix $funn $opti $dbmm $vysm $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-17 00:00:00,"Good Morning!

Another size Gap up!

Jan OPEX is today

$AMZN $FB $GOOG $NFLX pt raised on all @ UBS ahead of earniings"
2020-01-17 00:00:00,"P/E of 9.55 is great

Compare with: 
#Apple $AAPL: 26.5
#Microsoft $MSFT: 31.3
#Google $GOOG: 31.6
#Adobe $ADBE: 57.5
#Amazon $AMZN: 83.1
@kucoincom $KCS: 15.3
@BitMax_Official $BTMX: 3.3
@idexio $IDEX: 14.53

𝗜𝗳 @binance 𝗯𝘂𝗿𝗻𝘀 $𝟯𝟲.𝟳𝗠 𝗶𝗻 𝗤𝟰, $BNB 𝗣/𝗘 𝗶𝘀 𝟮𝟰.𝟰"
2020-01-17 00:00:00,"بعد شركتي #أبل و #مايكروسوفت, هاهي شركة #الفابت (قوقل سابقا"") تخترق حاجز الترليون دولار قيمة سوقية كثالث شركة تحقق ذلك المستوى. للعلم أن الشركات الوحيدة التي أستطاعت اختراق حاجو الترليون دولار كلها شركات تعمل في مجال التكنلوجيا.
#أسواق_المال #الأسهم #الاستثمار $GOOG https://t.co/orGq7gVuHg"
2020-01-18 00:00:00,"Google $GOOG approaching $1,500. 

Incredible results from a solid business, if you stay the course.

I remember when it was trading around $500 in 2015, but too many people were worried a recession was coming. 

Carl Ichan's ""Recession"" video was going viral at the time. https://t.co/OezVOXdj6C"
2020-01-18 00:00:00,"$GOOG: 12 zeroes down, 88 more to go 😏"
2020-01-18 00:00:00,"Weekly Public Video

""How the Current Charts Differ in 2020 vs 2018 for the Biggest Names""

20 Charts in 15 minutes

Comparing 2018 vs 2020 Charts for:
$SPX $QQQ $SMH
$AAPL $AMZN $FB $GOOG $JPM $MSFT $NVDA 

https://t.co/Usf14fH9H7"
2020-01-19 00:00:00,"Peso de las “Big Three” ( Vanguard, BlackRock y State Street) en las acciones FAANG:

Facebook: 17,85% $FB
Apple: 18,40% $AAPL
Amazon: 15,11% $AMZN
Netflix: 17,60% $NFLX
Alphabet: 15,92% $GOOG https://t.co/MuL437RjWR"
2020-01-20 00:00:00,Año estelar del inversor activista británico Christopher Hohn. Ha obtenido en 2019 una rentabilidad del +41% generando unas ganancias netas para sus accionistas de 8.400 millones de dólares. Sus 5 primeras posiciones son $GOOG $CHTR $CP $CNI y $MSFT https://t.co/W3tLmf1jGT
2020-01-20 00:00:00,"""Discrepancies between price and value is opportunity""
-Benjamin Graham

$ALPP is trading at 1x earnings.. Similar companies trade at 5-8x earnings.. This is worth $1-2 right now!

 $SBES $ADSV $XTRM $ARTR $SWHI $CRSM $DBMM $OWCP $VRUS $FB $AAPL $AMZN $GOOG $MSFT $HD $PCTL $OPTI https://t.co/yzrBdl7iLO"
2020-01-20 00:00:00,"$SBES look for a breakout tomorrow. Shoulda popped off higher Friday but we know its coming.Accumulation inflection,nice green candle. more to come 

$amrn $swhi $pctl $nwbo $avxl $owcp $rxmd $fnma $igex $kwbt $vrus $ipix $funn $opti $dbmm $acb $baba $avx $aapl $msft $goog $amzn https://t.co/O19IKI0hib"
2020-01-21 00:00:00,"$SBES paper thin up. Anyone selling now is crazy. We will take your shares. Squeeze to come, definitely going higher today. Adding up some more

$amrn $swhi $pctl $nwbo $avxl $owcp $rxmd $fnma $igex $kwbt $vrus $ipix $funn $opti $dbmm $vysm $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-21 00:00:00,"📈📈 Tuesday Morning's #Top10 Most Actively-Traded Stocks 📉📉

1. $AMD 
2. $BYND
3. $BABA
4. $AAPL
5. $TSLA
6. $MSFT
7. $FB
8. $NFLX
9. $AMZN
10. $GOOG

See the rest of today's trending stocks here: https://t.co/ulWhJgJZgh

Are you trading any of these names today? https://t.co/yYLN4muBNE"
2020-01-21 00:00:00,"$AMZN. Sponsored Ads might be a misstep.  Similar to $GOOG overfilling ads on search making discovery feel less organic, potentially not what your looking for and potentially drive customers elsewhere. https://t.co/EzHGWVDSKQ"
2020-01-22 00:00:00,"@QTRResearch @WallStCynic @SquawkAlley just wait till FSD is solved and rolled out, how will you value tsla then?  like waymo or like gm?"
2020-01-22 00:00:00,Because I play with an open hand...I sold $GOOGL in my personal account. Proceeds are looking for a new home. Suggestions welcome.
2020-01-22 00:00:00,@RampCapitalLLC $GOOG
2020-01-22 00:00:00,@robinhsueh @QTRResearch @SquawkAlley $GOOG trades at 20x EV/EBITDA and 30x EPS. You want to go there?
2020-01-23 00:00:00,"Think the Nasdaq and S&amp;P are too expensive? Think again. Where are the $FB, $AMZN $GOOG &amp; $NFLX of Canada? @MichaelKantro @csm_research https://t.co/e218GJIR3L https://t.co/DxY5C55Wxh"
2020-01-23 00:00:00,Yesterday’s top 5 options alerts on BlackBox were one of the biggest line ups of triple digit gainers that we’ve seen yet! 💯💯💯💯💯📈🙌🙌 $YETI $AMT $SDC $GOOG #OptionsTrading #Options #StockMarket #FinTech #Earnings #stockmarketnews https://t.co/HQVuKqw2lV
2020-01-23 00:00:00,"Have you ever made 5, 6 or 7 figure profit on a single ticker? Be honest please!🤑 (If yes, comment which one)

$amrn $swhi $pctl $nwbo $avxl $owcp $rxmd $fnma $igex $kwbt $vrus $ipix $funn $opti $dbmm $vysm $acb $grnf $SbeS $enrt $avx $aapl $msft $goog $amzn #OTC #pennystocks"
2020-01-24 00:00:00,"Calling a business ""asset-light"" suggests the business does not have much assets. Pretending $FB, $GOOG or $PYPL do not have much assets is beyond ridiculous."
2020-01-24 00:00:00,"""Asset-light"" as well as ""capital intensive"" are misnomers. The difference between these two business models is largely coming from a failure of GAAP to properly reflect investments in intangible assets"
2020-01-24 00:00:00,"$GOOG $GOOGL Alphabet Gets Street-High Target ($1,769 from $1,546) at KeyBanc on Online Ad Growth https://t.co/Gbu1iX5eHU"
2020-01-24 00:00:00,"All businesses require capital to grow - either it's $GOOG or $XOM. The difference between the two is in accounting treatment of their investments and in returns on invested capital. While $XOM capitalizes most of their investments, $GOOG invests mostly through P&amp;L"
2020-01-24 00:00:00,"Survey we just wrapped up of 129 advertising executives with visibility into social media spend. Among ad execs with visibility into each platform, $GOOG gets the top rating for ROI, followed by $AMZN. https://t.co/6XTob1YGtl"
2020-01-24 00:00:00,"Smart car from Tesla. Wearables from Apple. Amazon will sell us almost everything. Knowledge is power. Cyber security will be huge. AI, Chips. $tsla $aapl $amzn $crwd $nvda $msft $goog"
2020-01-25 00:00:00,This is very big news.  Google and activision teaming up in streaming and cloud. Love this. $goog $atvi #CallofDutyLeague  https://t.co/5sDQl6B0rU
2020-01-25 00:00:00,"#Investing in #AI: A Beginner's Guide 

#ML #DeepLearning #Data #MI #Artificialintelligence #AImoney #NeutralNetworks @MargaretSiegien @Nicochan33 @Ronald_vanLoon @kuriharan 
@themotleyfool #stocks $IBM $GOOGL $MSFT $AMZN $FB $BIDU $NVDA $TCEHY $GOOG $BABA https://t.co/IyRiPzTVnd"
2020-01-25 00:00:00,Massive move about to happen $GSLC $AAPL $MSFT $AMZN $FB $JPM $GOOG $INTC $WMT https://t.co/XkNz3xcojb
2020-01-26 00:00:00,"As we head into a big tech earnings week, one of the biggest risks to the market is that 5 stocks ($AAPL, $MSFT, $AMZN, $FB &amp; $GOOG) represent more than $5 trillion in market value. With very full valuations already, any pullback in this sector will have a big impact on the mkt"
2020-01-27 00:00:00,"📈📈 Monday Morning's #Top10 Most Actively-Traded Stocks 📉📉  

1. $AAPL
2. $BABA
3. $MSFT
4. $FB
5. $TSLA
6. $NVDA
7. $NFLX
8. $AMZN
9. $GOOG
10. $GOOGL

See the rest of today's trending stocks here: https://t.co/ulWhJgJZgh

Are you trading any of these names today? https://t.co/VdiztRNFls"
2020-01-28 00:00:00,Once a month I scroll through my email spam in gmail - the salesman in me - it only makes me shake my head at both how bad the spam is and how good Google gmail is. $goog
2020-01-28 00:00:00,"I know many companies are scared of Amazon (and they should be) but the scariest company is Facebook. 2B+ users. No one has the scale of FB, well maybe Google. $FB $GOOG"
2020-01-28 00:00:00,Top 10 US-listed single name equities with largest short interest in terms of notional $ exposure. Every member of FAANG above $5 billion.  Tesla continues to maintain it's lead over Apple. @S3Partners @ihors3 $TSLA $FB $AAPL $AMZN $NFLX $GOOG #FAANG #Top10 https://t.co/WZvYGeeE42
2020-01-29 00:00:00,$GOOG | Google Confirms Reports Of Temporarily Shutting Down All China Offices Due To Coronavirus Outbreak - RTRS
2020-01-29 00:00:00,"Facebook earnings, when a beat is not a beat. Ignore all this earnings noise, the stock is a long term hold.   

$FB $GOOG $PINS $SNAP $TWTR https://t.co/6qk2ycByFZ https://t.co/F3b322Dpnz"
2020-01-29 00:00:00,"$ALPP - Low volume correction! The breakout will be huge.

$RTON $ALPP $BPMX $EXMT $FUNN $HENC $INND $MZEIQ $NNVC $ONCI $PBIO $PCTL $VRUS $ALPP $FB $AMZN $TSLA $GOOG $MSFT $AMD $RJDG $SBES $SNPW $ARTR $ONTX $DMAN $OPTI $HD $GRNH $BYOC $TPTW $ARST $XTRM $SNPW $RELI $UAMM https://t.co/Z3iywZzXou"
2020-01-29 00:00:00,The GK Tech and Tesla earnings show. We’re breaking down all the reports live and in real time. We’re covering all things Tesla as well as Microsoft and Facebook $tsla $msft $fb  https://t.co/LN3IWBiIvu
2020-01-29 00:00:00,"Forget FAANG, Time for the TAANG
--
Booty TAANG! @elonmusk 
$TSLA $AAPL $AMZN $NFLX $GOOG https://t.co/2x9LfmrBv0"
